"IDENTIFIER","SERIAL","NODE","NODEALIAS","MANAGER","AGENT","ALERTGROUP","ALERTKEY","SEVERITY","SUMMARY","STATECHANGE","FIRSTOCCURRENCE","LASTOCCURRENCE","INTERNALLAST","POLL","TYPE","TALLY","CLASS","GRADE","LOCATION","OWNERUID","OWNERGID","ACKNOWLEDGED","FLASH","EVENTID","EXPIRETIME","PROCESSREQ","SUPPRESSESCL","CUSTOMER","SERVICE","PHYSICALSLOT","PHYSICALPORT","PHYSICALCARD","TASKLIST","NMOSSERIAL","NMOSOBJINST","NMOSCAUSETYPE","NMOSDOMAINNAME","NMOSENTITYID","NMOSMANAGEDSTATUS","LOCALNODEALIAS","LOCALPRIOBJ","LOCALSECOBJ","LOCALROOTOBJ","REMOTENODEALIAS","REMOTEPRIOBJ","REMOTESECOBJ","REMOTEROOTOBJ","X733EVENTTYPE","X733PROBABLECAUSE","X733SPECIFICPROB","X733CORRNOTIF","SERVERNAME","SERVERSERIAL","URL","EXTENDEDATTR","TECHOSTNAME","TECFQHOSTNAME","TECDATE","TECREPEATCOUNT","TECSTATUS","TECSERVERHANDLE","TECEVENTHANDLE","TECDATERECEPTION","MONITORINGITEM","BAPPSYSTEM","MONITORINGMODE","SYSLOGFLAG","PROCESSTYPE","DETAIL","AGENTNODE","TID","TCODE","TRESULT","SENDER","RECEIVER","HEXINCODE","WAIWEICODE","HEXINID","THREAD","OMNILEVEL","DEP","SERVICEFLAG","INODE","AGENTQUDAO","TONGCODE","ACCOUNT","GUIYUAN","QUDAO","TENDTIME","TSTARTTIME","TTIME","ADDRESS","LOGTIME","PKTSUMMARY","NTMGDOBJ","NTEVENTID","NTOCI","NTORG","FLAG","PLATJYM","JYRESULT","SUBTID","BAOWEN","TIMESTAMP","MASTERTID","PID","SID","SERVICECODE","TIMECHANGE","NTLOGGED","SUMMARYCN","EVENTNAME","OPERATOR","OPERATION"
"HXB_UX_CPU_Busy_Pct_E:wmsweb1:KUX::ITM_SMP_CPU","","102.200.2.39","wmsweb1:KUX","","ITM","ITM_SMP_CPU","HXB_UX_CPU_Busy_Pct_E","3","此事件已恢复:财富管理系统Web服务器-A机ITM事件(发生于16:18:05):当前UNIX系统CPU使用率为超过预设阀值75,当前值为; 该事件名称为HXB_UX_CPU_Busy_Pct_E","2013/7/4 16:20:43","2013/6/3 16:07:50","2013/7/4 16:17:30","","","","792","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","财富管理系统Web服务器-A机","0","","0","","","","","","","","","","","","","9999","","","","","","","","","","","","","","","","","","","","ITM_OS_UX_135","","","","","","","","","0","","","",""
"HXB_ERRPTLOG_A:wksd1:KUL:A924A5FC: SOFTWARE PROGRAM ABNORMALLY TERMINATED:ITM_Log_Entries","","102.200.128.80","wksd1:KUL","","ITM","ITM_Log_Entries","HXB_ERRPTLOG_A","5","外卡收单1AIX系统ERRPT日志告警!内容为：A924A5FC: SOFTWARE PROGRAM ABNORMALLY TERMINATED；告警源为:'SYSPROC'；class:'S'；type:'P'","2013/6/3 16:17:29","2013/6/3 16:17:29","2013/6/3 16:17:29","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","外卡收单1","0","","0","","","","","","","","","","","","","9999","","","","","","","","","","","","","","","","","","","","ITM_OS_LOG_7","","","","","","","","","0","","","",""
"HXB_Ora_Large_Process_Num_W:RZ:hxrews2-hxrews2-rewsdb2:RDB::ITM_KRZ_RDB_PROCESS_SUMMARY","","192.168.254.199","RZ:hxrews2-hxrews2-rewsdb2:RDB","","ITM","ITM_KRZ_RDB_PROCESS_SUMMARY","HXB_Ora_Large_Process_Num_W","3","反欺诈数据库B机ITM事件(发生于08:09:41):Oracle最大进程数为:'67'高于阈值60 HXB_Ora_Large_Process_Num_W请及时与服务台联系","2013/9/28 8:12:15","2013/6/3 16:59:15","2013/9/28 8:12:15","","","","10","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","反欺诈数据库B机","0","","0","","","","","","","","","","","","","9999","","","","","","","","","","","","","","","","","","","","ITM_DB_Oracle_70","","","","","","","","","0","","","",""
"HXB_Ora_Large_Process_Num_W:RZ:hxrews1-hxrews1-rewsdb1:RDB::ITM_KRZ_RDB_PROCESS_SUMMARY","","192.168.254.198","RZ:hxrews1-hxrews1-rewsdb1:RDB","","ITM","ITM_KRZ_RDB_PROCESS_SUMMARY","HXB_Ora_Large_Process_Num_W","3","反欺诈数据库A机ITM事件(发生于08:08:40):Oracle最大进程数为:'71'高于阈值60 HXB_Ora_Large_Process_Num_W请及时与服务台联系","2013/9/28 8:09:03","2013/6/3 17:02:27","2013/9/28 8:09:03","","","","9","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","反欺诈数据库A机","0","","0","","","","","","","","","","","","","9999","","","","","","","","","","","","","","","","","","","","ITM_DB_Oracle_70","","","","","","","","","0","","","",""
"HXB_UX_NetworkFlow_Large_W:hjjydb2:KUX::ITM_Network","","192.168.145.24","hjjydb2:KUX","","ITM","ITM_Network","HXB_UX_NetworkFlow_Large_W","2","此事件已恢复:黄金系统数据库备机ITM事件(发生于03:50:32):UNIX系统网卡流量每秒传输为超过预设阀值20M,,当前值为HXB_UX_NetworkFlow_Large_W请及时与服务台联系","2013/10/23 3:52:50","2013/6/1 3:37:33","2013/10/23 3:49:38","","","","263","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","黄金系统数据库备机","0","","0","","","","","","","","","","","","","9999","","","","","","","","","","","","","","","","","","","","ITM_OS_UX_165","","","","","","","","","0","","","",""
"HXB_ERRPTLOG_A:dcmsap1:KUL:C69F5C9B: SOFTWARE PROGRAM ABNORMALLY TERMINATED:ITM_Log_Entries","","110.200.1.51","dcmsap1:KUL","","ITM","ITM_Log_Entries","HXB_ERRPTLOG_A","5","信贷系统APP服务器(DCMS_APP1)AIX系统ERRPT日志告警：C69F5C9B: SOFTWARE PROGRAM ABNORMALLY TERMINATED；告警源为:'SYSPROC'；class:'S'；type:'P'","2013/6/5 15:05:20","2013/6/3 18:09:55","2013/6/5 15:05:20","","","","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","信贷系统APP服务器(DCMS_APP1)","0","","0","","","","","","","","","","","","","9999","","","","","","","","","","","","","","","","","","","","ITM_OS_LOG_7","","","","","","","","","0","","","",""
"HXB_ERRPTLOG_A:hxvipdb2:KUL:rmt2:ITM_Log_Entries","","110.200.1.140","hxvipdb2:KUL","","ITM","ITM_Log_Entries","HXB_ERRPTLOG_A","5","个人VIP系统数据库服务器-B机AIX系统ERRPT日志告警:07A33B6A: TAPE DRIVE FAILURE；告警源为:'rmt2'；class:'H'；type:'P'请及时与服务台联系","2013/10/19 13:53:21","2013/6/10 12:46:46","2013/10/19 13:53:21","","","","29","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","个人VIP系统数据库服务器-B机","0","","0","","","","","","","","","","","","","9999","","","","","","","","","","","","","","","","","","","","ITM_OS_LOG_7","","","","","","","","","0","","","",""
"HXB_UX_Paging_Sec_W:gdhs2:KUX::ITM_Unix_Memory","","102.200.128.77","gdhs2:KUX","","ITM","ITM_Unix_Memory","HXB_UX_Paging_Sec_W","2","此事件已恢复:个贷核算B机ITM事件(发生于04:53:30):UNIX系统交换页Page－Out，Page－in使用率都超过预设阀值100,当前值为;HXB_UX_Paging_Sec_W请及时与服务台联系","2013/10/23 4:53:53","2013/6/1 4:48:14","2013/10/23 4:44:14","","","","145","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","个贷核算B机","0","","0","","","","","","","","","","","","","9999","","","","","","","","","","","","","","","","","","","","ITM_OS_UX_169","","","","","","","","","0","","","",""
"HXB_Ora9_Buf_Cache_Hit_W:p012band:bancs01_mag:ORA::ITM_Oracle_Statistics_Summary","","110.200.1.66","p012band:bancs01_mag:ORA","","ITM","ITM_Oracle_Statistics_Summary","HXB_Ora9_Buf_Cache_Hit_W","2","此事件已恢复:核心Bancs-A机ITM事件(发生于01:10:56):Buf命中率为:高于阈值70%低于阈值90% HXB_Ora9_Buf_Cache_Hit_W请及时与服务台联系","2013/10/19 1:11:59","2013/6/9 0:09:15","2013/10/19 0:43:04","","","","37","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","核心Bancs-A机","0","","0","","","","","","","","","","","","","9999","","","","","","","","","","","","","","","","","","","","ITM_DB_Oracle_86","","","","","","","","","0","","","",""
"HXB_ERRPTLOG_A:pcard01:KUL:BFE4C025: UNDETERMINED ERROR:ITM_Log_Entries","","110.200.1.101","pcard01:KUL","","ITM","ITM_Log_Entries","HXB_ERRPTLOG_A","5","新核心生产主机A（BANCS-CARD）AIX系统ERRPT日志告警：BFE4C025: UNDETERMINED ERROR；告警源为:'sysplanar0'；class:'H'；type:'P'","2013/6/4 20:01:38","2013/6/4 20:01:38","2013/6/4 20:01:38","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","新核心生产主机A（BANCS-CARD）","0","","0","","","","","","","","","","","","","9999","","","","","","","","","","","","","","","","","","","","ITM_OS_LOG_7","","","","","","","","","0","","","",""
"HXB_UX_Disk_Busy_AVG15_Pct_E:zzzf2:KUX::ITM_Disk_Performance","","110.200.1.178","zzzf2:KUX","","ITM","ITM_Disk_Performance","HXB_UX_Disk_Busy_AVG15_Pct_E","3","此事件已恢复:转账支付应用B机ITM事件(发生于02:21:38); 当前Unix系统磁盘15分钟繁忙率连续五次超过预设阀值80,当前值为;该事件名称为HXB_UX_Disk_Busy_AVG15_Pct_E","2013/8/31 2:24:40","2013/6/9 2:11:21","2013/8/31 2:21:27","","","","57","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","转账支付应用B机","0","","0","","","","","","","","","","","","","9999","","","","","","","","","","","","","","","","","","","","ITM_OS_UX_139","","","","","","","","","0","","","",""
"HXB_UX_NetworkFlow_Large_W:gjjsdb1:KUX::ITM_Network","","102.200.2.192","gjjsdb1:KUX","","ITM","ITM_Network","HXB_UX_NetworkFlow_Large_W","2","此事件已恢复:新国结db1机ITM事件(发生于06:00:43):UNIX系统网卡流量每秒传输为超过预设阀值20M,,当前值为HXB_UX_NetworkFlow_Large_W请及时与服务台联系","2013/10/23 6:01:21","2013/6/1 5:46:04","2013/10/23 5:54:56","","","","161","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","新国结db1机","0","","0","","","","","","","","","","","","","9999","","","","","","","","","","","","","","","","","","","","ITM_OS_UX_165","","","","","","","","","0","","","",""
"HXB_UX_NetworkFlow_Large_W:gjjsdb2:KUX::ITM_Network","","102.200.2.193","gjjsdb2:KUX","","ITM","ITM_Network","HXB_UX_NetworkFlow_Large_W","2","此事件已恢复:新国结db2机ITM事件(发生于06:00:43):UNIX系统网卡流量每秒传输为超过预设阀值20M,,当前值为HXB_UX_NetworkFlow_Large_W请及时与服务台联系","2013/10/23 6:01:21","2013/6/1 5:49:17","2013/10/23 5:58:08","","","","158","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","新国结db2机","0","","0","","","","","","","","","","","","","9999","","","","","","","","","","","","","","","","","","","","ITM_OS_UX_165","","","","","","","","","0","","","",""
